,Title,gdp,industry_code
0,accommodation,374518,721
1,administrative and support services,1326052,561
2,air transportation,311313,481
3,ambulatory health care services,1474631,621
4,amusements gambling and recreation industries,236832,713
5,apparel and leather and allied products,47688,315
6,broadcasting and telecommunications,937161,513
7,chemical products,1029387,325
8,computer and electronic products,413962,334
9,data processing internet publishing and other information services,786315,611
10,fabricated metal products,431618,332
11,farms,555343,111
12,federal reserve banks credit intermediation and related activities,1371746,522
13,food and beverage and tobacco products,1179810,311
14,food and beverage stores,344219,311
15,food services and drinking places,1296355,722
16,forestry fishing and related activities,66345,113
17,funds trusts and other financial vehicles,205986,525
18,furniture and related products,80931,337
19,general merchandise stores,310953,455
20,hospitals,1160859,622
21,insurance carriers and related activities,1378230,524
22,machinery,451962,333
23,mining except oil and gas,136909,212
24,miscellaneous manufacturing,193615,339
25,motion picture and sound recording industries,202063,512
26,motor vehicle and parts dealers,540845,441
27,nonmetallic mineral products,161769,327
28,nursing and residential care facilities,317104,623
29,oil and gas extraction,478748,211
30,other transportation and support activities,349161,483
31,paper products,203354,322
32,performing arts spectator sports museums and related activities,280879,711
33,petroleum and coal products,757733,324
34,pipeline transportation,71201,486
35,plastics and rubber products,298611,326
36,primary metals,318866,331
37,printing and related support activities,86794,323
39,rail transportation,91781,482
40,real estate,4897538,531
41,rental and leasing services and lessors of intangible assets,654987,532
42,securities commodity contracts and investments,828402,523
43,social assistance,334871,624
44,support activities for mining,103802,213
45,textile mills and textile product mills,99852,313
46,transit and ground passenger transportation,145630,485
47,transportation equipment manufacturing,1360058,336
48,truck transportation,529782,484
49,warehousing and storage,180304,493
50,waste management and remediation services,166856,562
51,water transportation,71454,483
52,wood products,168707,321
