country,sector,import_intensity_weighted,country_import_weight,tariff_rate
afghanistan,Apparel,0.4225696647802063,3.159616013321168e-05,3.4
afghanistan,Computers and Electronics,0.724636530637896,1.8181779579875162e-08,3.4
afghanistan,Food,0.08895378181690045,6.760588955514656e-05,3.4
afghanistan,Goods,0.2385196819246153,9.601198092208237e-07,3.4
afghanistan,Motor Vehicles,0.30932015071744573,9.949057817038598e-08,3.4
afghanistan,Services,0.06567749517561264,1.422064137608351e-06,3.4
albania,Apparel,0.4225696647802063,0.00013439000695306848,3.4
albania,Computers and Electronics,0.724636530637896,2.8402680758914344e-07,3.4
albania,Food,0.08895378181690045,0.00010449418352462473,3.4
albania,Goods,0.26041122630630426,2.111034109523482e-05,3.4
albania,Motor Vehicles,0.30932015071744573,1.546379792494209e-05,3.4
albania,Services,0.06567749517561264,4.992230311792949e-06,3.4
algeria,Apparel,0.4225696647802063,1.0021502900402333e-07,3.4
algeria,Computers and Electronics,0.724636530637896,4.511897033912526e-07,3.4
algeria,Food,0.08895378181690045,5.101730517450539e-05,3.4
algeria,Goods,0.26041122630630426,0.0019875505122698423,3.4
algeria,Motor Vehicles,0.30932015071744573,8.936543083446173e-09,3.4
algeria,Services,0.06567749517561264,1.8678768825886376e-06,3.4
all_countries,Apparel,0.4225696647802063,1.0,3.4
all_countries,Computers and Electronics,0.724636530637896,1.0,3.4
all_countries,Food,0.08895378181690045,1.0,3.4
all_countries,Goods,0.26041122630630426,1.0,3.4
all_countries,Motor Vehicles,0.30932015071744573,1.0,3.4
all_countries,Services,0.06567749517561264,1.0,3.4
andorra,Apparel,0.4225696647802063,1.3125285865200997e-08,3.4
andorra,Computers and Electronics,0.724636530637896,3.541994781446566e-06,3.4
andorra,Food,0.08895378181690045,3.282146319843304e-08,3.4
andorra,Goods,0.2385196819246153,7.422147695183893e-07,3.4
andorra,Motor Vehicles,0.30932015071744573,3.8930038539540747e-07,3.4
andorra,Services,0.06567749517561264,4.69019435814877e-06,3.4
angola,Apparel,0.4225696647802063,0.0,3.4
angola,Computers and Electronics,0.724636530637896,0.0,3.4
angola,Food,0.08895378181690045,1.1689341549335838e-06,3.4
angola,Goods,0.25973718341785934,0.00018849834668649995,3.4
angola,Motor Vehicles,0.30932015071744573,0.0,3.4
angola,Services,0.06567749517561264,0.0,3.4
anguilla,Apparel,0.4225696647802063,6.048806174623285e-07,3.4
anguilla,Computers and Electronics,0.724636530637896,0.0,3.4
anguilla,Food,0.08895378181690045,9.212309805625674e-07,3.4
anguilla,Goods,0.26041122630630426,2.7454133099751876e-07,3.4
anguilla,Motor Vehicles,0.30932015071744573,2.2730012432441593e-07,3.4
anguilla,Services,0.06567749517561264,0.0,3.4
antigua and barbuda,Apparel,0.4225696647802063,1.2432323669395927e-07,3.4
antigua and barbuda,Computers and Electronics,0.724636530637896,3.3147899226983944e-07,3.4
antigua and barbuda,Food,0.08895378181690045,1.5855539461419842e-06,3.4
antigua and barbuda,Goods,0.26041122630630426,5.140689288713769e-07,3.4
antigua and barbuda,Motor Vehicles,0.30932015071744573,3.9390386853198916e-07,3.4
antigua and barbuda,Services,0.06567749517561264,0.0,3.4
apec - asia pacific economic co-operation,Apparel,0.4225696647802063,0.5854909968489417,3.4
apec - asia pacific economic co-operation,Computers and Electronics,0.724636530637896,0.8480688081513903,3.4
apec - asia pacific economic co-operation,Food,0.08895378181690045,0.6438512212541359,3.4
apec - asia pacific economic co-operation,Goods,0.26041122630630426,0.5388788025937384,3.4
apec - asia pacific economic co-operation,Motor Vehicles,0.30932015071744573,0.7611762189261507,3.4
apec - asia pacific economic co-operation,Services,0.06567749517561264,0.7506906863005606,3.4
argentina,Apparel,0.4225696647802063,0.00011778960824719075,3.4
argentina,Computers and Electronics,0.724636530637896,1.925840259602635e-05,3.4
argentina,Food,0.08895378181690045,0.00791144924738746,3.4
argentina,Goods,0.26041122630630426,0.001346881538671494,3.4
argentina,Motor Vehicles,0.30932015071744573,0.00014934964414412084,3.4
argentina,Services,0.06567749517561264,0.00012029388853466706,3.4
armenia,Apparel,0.4225696647802063,6.0882435260015304e-05,3.4
armenia,Computers and Electronics,0.724636530637896,2.7307803393644533e-05,3.4
armenia,Food,0.08895378181690045,0.00010531792272280204,3.4
armenia,Goods,0.26041122630630426,7.59179436230046e-05,3.4
armenia,Motor Vehicles,0.30932015071744573,1.0738525826709211e-07,3.4
armenia,Services,0.06567749517561264,5.577283201780777e-06,3.4
aruba,Apparel,0.4225696647802063,1.4156133253807966e-07,3.4
aruba,Computers and Electronics,0.724636530637896,5.215199535166222e-07,3.4
aruba,Food,0.08895378181690045,4.749133536209024e-06,3.4
aruba,Goods,0.26041122630630426,1.2537737799394161e-06,3.4
aruba,Motor Vehicles,0.30932015071744573,1.5270315373458905e-07,3.4
aruba,Services,0.06567749517561264,0.0,3.4
asean - association of southeast asian nations,Apparel,0.4225696647802063,0.26785641850489783,3.4
asean - association of southeast asian nations,Computers and Electronics,0.724636530637896,0.2442861488493335,3.4
asean - association of southeast asian nations,Food,0.08895378181690045,0.082737514428722,3.4
asean - association of southeast asian nations,Goods,0.26041122630630426,0.08169248781263565,3.4
asean - association of southeast asian nations,Motor Vehicles,0.30932015071744573,0.015975925678170456,3.4
asean - association of southeast asian nations,Services,0.06567749517561264,0.06818001166466342,3.4
australia,Apparel,0.4225696647802063,0.000384478284727986,0.6
australia,Computers and Electronics,0.724636530637896,0.002590758380558588,0.6
australia,Food,0.08895378181690045,0.023195095878871846,0.6
australia,Goods,0.26041122630630426,0.004566326532520783,0.6
australia,Motor Vehicles,0.30932015071744573,0.0013473974831863494,0.6
australia,Services,0.06567749517561264,0.0018970808453831957,0.6
austria,Apparel,0.4225696647802063,0.0004944536994843931,1.8
austria,Computers and Electronics,0.724636530637896,0.0024122993124281243,1.8
austria,Food,0.08895378181690045,0.003014612576464001,1.8
austria,Goods,0.26041122630630426,0.009761779059934172,1.8
austria,Motor Vehicles,0.30932015071744573,0.00828129331411728,1.8
austria,Services,0.06567749517561264,0.002084388677592269,1.8
azerbaijan,Apparel,0.4225696647802063,5.06748442386536e-07,3.4
azerbaijan,Computers and Electronics,0.724636530637896,5.186420529513505e-07,3.4
azerbaijan,Food,0.08895378181690045,2.1766809649133173e-05,3.4
azerbaijan,Goods,0.25973718341785934,2.3224926072031248e-05,3.4
azerbaijan,Motor Vehicles,0.30932015071744573,3.418337785367465e-07,3.4
azerbaijan,Services,0.06567749517561264,1.5668878473279746e-06,3.4
bahamas,Apparel,0.4225696647802063,1.96747043284159e-06,3.4
bahamas,Computers and Electronics,0.724636530637896,5.289925425924427e-07,3.4
bahamas,Food,0.08895378181690045,1.6144742334592676e-06,3.4
bahamas,Goods,0.26041122630630426,0.0006635710961666984,3.4
bahamas,Motor Vehicles,0.30932015071744573,1.990379661736505e-06,3.4
bahamas,Services,0.06567749517561264,6.189730456137257e-06,3.4
bahrain,Apparel,0.4225696647802063,0.00030350995671294854,3.4
bahrain,Computers and Electronics,0.724636530637896,1.3255220201547168e-06,3.4
bahrain,Food,0.08895378181690045,2.5830948286409085e-05,3.4
bahrain,Goods,0.26041122630630426,0.0003464037107582081,3.4
bahrain,Motor Vehicles,0.30932015071744573,2.392218040137329e-07,3.4
bahrain,Services,0.06567749517561264,0.0,3.4
bangladesh,Apparel,0.4225696647802063,0.051789976387708124,3.4
bangladesh,Computers and Electronics,0.724636530637896,1.1619106775790151e-05,3.4
bangladesh,Food,0.08895378181690045,0.0001634254646027231,3.4
bangladesh,Goods,0.26041122630630426,0.0002517098670824417,3.4
bangladesh,Motor Vehicles,0.30932015071744573,6.790997111014477e-06,3.4
bangladesh,Services,0.06567749517561264,4.092054988367e-05,3.4
barbados,Apparel,0.4225696647802063,1.8509740983534942e-05,3.4
barbados,Computers and Electronics,0.724636530637896,6.339500738275924e-06,3.4
barbados,Food,0.08895378181690045,0.00013172224714037118,3.4
barbados,Goods,0.26041122630630426,5.708293258091873e-06,3.4
barbados,Motor Vehicles,0.30932015071744573,3.584679491600506e-08,3.4
barbados,Services,0.06567749517561264,0.00022487667288791926,3.4
belarus,Apparel,0.4225696647802063,2.407394970199256e-05,3.4
belarus,Computers and Electronics,0.724636530637896,8.693851476361312e-06,3.4
belarus,Food,0.08895378181690045,8.718696063321592e-05,3.4
